Business ID,Accreditation No.,Business Name,CDE,TDC,PDC,TOTAL,Organization Address,Organization Types,Validity,Status,Region
DS-20-0000221,DS-2020-00014-13,EXPRESS DRIVING SCHOOL - SAMPALOC,0,60,42,102,"1760 A. MACEDA COR. RETIRO SAMPALOC, Barangay 492, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1008",Driving School - Main Office,11/08/2026,Active,NCR
DS-20-0000222,DS-2020-00008-13,GEAR 1 DRIVING SCHOOL,40,80,80,200,"25 NATIONAL HIGHWAY, Putatan, MUNTINLUPA CITY, METRO MANILA, FOURTH DISTRICT, 1772",Driving School - Main Office,10/28/2026,Active,NCR
DS-20-0000223,DS-2020-00015-13,QUICKDRIVE DRIVING SCHOOL - VALENZUELA,0,71,133,204,"NO. 7 JLB APT. KM12, MC ARTHUR HIGHWAY, Marulas, VALENZUELA CITY, METRO MANILA, THIRD DISTRICT, 1440",Driving School - Main Office,11/11/2026,Active,NCR
DS-20-0000225,DS-2019-R-0045-18,QUICKDRIVE DRIVING SCHOOL - PASIG,40,80,80,200,"NO. 1 ROSARIO BUILDING,ORTIGAS AVENUE EXTENSION, Rosario, PASIG CITY, METRO MANILA, SECOND DISTRICT, 1609",Driving School - Main Office,01/07/2024,Expired,NCR
DS-20-0000227,DS-2019-R-0048-13,HONDA CARS KALOOKAN,0,48,56,104,"598 EDSA BALINTAWAK, Barangay 95, CALOOCAN CITY, METRO MANILA, THIRD DISTRICT, 1403",Driving School - Main Office,10/31/2020,Expired,NCR
DS-20-0000785,-,BIDABEST,0,48,56,104,"QFSDFSDF, Batasan Hills, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1126",Driving School - Main Office,,Pending,NCR
DS-20-0000786,-,BIDABEST,0,48,56,104,"CUBAO, Bayanihan, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1109",Driving School - Main Office,,Pending,NCR
DS-20-0000905,DS-2020-00001-13,HONDA SAFETY DRIVING CENTER,40,48,56,200,"KM 17 EAST SERVICE ROAD, SOUTH SUPER HIGHWAY, San Martin de Porres, PARAÑAQUE CITY, METRO MANILA, FOURTH DISTRICT, 1700",Driving School - Main Office,09/19/2026,Active,NCR
DS-20-0000927,DS-2020-00032-13,XCEL DRIVING SCHOOL - TANDANG SORA,40,120,120,280,"78 TANDANG SORA AVE., Culiat, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1128",Driving School - Main Office,11/22/2024,Expired,NCR
DS-20-0000930,DS-2020-00018-13,XCEL DRIVING SCHOOL CORP. - MANDALUYONG,0,110,182,292,"454 F. BERNARDINO ST., Daang Bakal, MANDALUYONG CITY, METRO MANILA, SECOND DISTRICT, 1550",Driving School - Main Office,10/11/2026,Active,NCR
DS-20-0000931,DS-2020-00031-13,XCEL DRIVING SCHOOL - QUEZON AVENUE,0,55,42,97,"UPPRER BASEMENT FISHERMALL QUEZON AVENUE, Santa Cruz, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1104",Driving School - Main Office,10/30/2026,Active,NCR
DS-20-0000933,DS-2020-00128-13,XCEL DRIVING SCHOOL - MAKATI,0,68,21,89,"3/F RUDEX BLDG. 1640 EVANGILISTA ST., Bangkal, MAKATI CITY, METRO MANILA, FOURTH DISTRICT, 1233",Driving School - Main Office,05/21/2026,Active,NCR
DS-20-0000935,DS-2020-00129-13,XCEL DRIVING SCHOOL - PASIG,0,48,42,90,"2/F APDV BLDG 198 ORTIGAS EXTENSION, Santa Lucia, PASIG CITY, METRO MANILA, SECOND DISTRICT, 1608",Driving School - Main Office,07/04/2026,Active,NCR
DS-20-0000944,R04-20-000526,PRECISION DRIVING SCHOOL,40,80,80,200,"14 STALLION ST., RANCHO 1 ESTATE, Concepcion Dos, MARIKINA CITY, METRO MANILA, SECOND DISTRICT, 1811",Driving School - Main Office,02/12/2021,Expired,NCR
DS-20-0000966,DS-2020-00021-05,GLAPPS DRIVNG ACADEMY INC - IROSIN,0,48,56,104,"GARCIA BLDG. ML QUEZON, San Juan (Pob.), IROSIN, SORSOGON, 4707",Driving School - Main Office,08/04/2026,Active,NCR
DS-20-0000968,DS-2020-00025-13,SMART DRIVING SCHOOL - E. RODRIGUEZ,0,46,58,104,"225 DIZON BLDG. 148, E. Rodriguez, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1102",Driving School - Main Office,10/24/2024,Expired,NCR
DS-20-0000972,DS-2020-00002-04,SMART DRIVING SCHOOL - ANGONO,0,46,58,104,"2F 204 SM CENTER ANGONO MANILA EAST ROAD, San Isidro, ANGONO, RIZAL, 1930",Driving School - Main Office,10/29/2026,Active,NCR
DS-20-0000974,DS-2020-00024-13,SMART DRIVING SCHOOL - TIMOG AVE.,0,60,60,120,"ARCHERUB BLDG 2ND FLR ROOM 204 TIMOG AVENUE CORNER EDSA, Diliman, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1104",Driving School - Main Office,10/17/2024,Expired,NCR
DS-20-0000976,DS-2020-00026-13,SMART DRIVING SCHOOL - VALENZUELA,40,120,120,280,"314 MC ARTHUR HIGHWAY, Karuhatan, VALENZUELA CITY, METRO MANILA, THIRD DISTRICT, 1441",Driving School - Main Office,10/23/2024,Expired,NCR
DS-20-0000977,DS-2020-00023-13,SMART DRIVING SCHOOL - ROAD 20,0,60,112,172,"735 KENNEDY ST. BAHAY TORO, Project 8, QUEZON CITY, METRO MANILA, SECOND DISTRICT, 1106",Driving School - Main Office,11/07/2026,Active,NCR
DS-20-0000983,DS-2020-00027-13,SMART DRIVING SCHOOL - MUNTINLUPA,40,80,80,200,"125 NATIONAL ROAD, Bayanan, MUNTINLUPA CITY, METRO MANILA, FOURTH DISTRICT, 1772",Driving School - Main Office,07/14/2027,Active,NCR
DS-20-0000984,DS-2020-00021-13,SMART DRIVING SCHOOL - TAFT,0,48,56,104,"TAFT UNIT 65 CTC PEDRO GIL COR TAFT AVE, Barangay 709, MANILA CITY, METRO MANILA, CITY OF MANILA, FIRST DISTRICT, 1004",Driving School - Main Office,09/30/2022,Expired,NCR
